Chamber,Start Time,End Time,Average Time
SC,0,1.6333333333333333,5.151020408163266
Neither,1.6333333333333333,15.6,2.2441666666666644
SC,15.6,18.1,5.151020408163266
Neither,18.1,21.2,2.2441666666666644
SC,21.2,27.3,5.151020408163266
Neither,27.3,29.9,2.2441666666666644
SC,29.9,36.63333333333333,5.151020408163266
Neither,36.63333333333333,41.06666666666667,2.2441666666666644
SC,41.06666666666667,44.63333333333333,5.151020408163266
Neither,44.63333333333333,44.666666666666664,2.2441666666666644
SC,44.666666666666664,47.06666666666667,5.151020408163266
Neither,47.06666666666667,49.5,2.2441666666666644
SC,49.5,54.93333333333333,5.151020408163266
Neither,54.93333333333333,56.233333333333334,2.2441666666666644
SC,56.233333333333334,62.333333333333336,5.151020408163266
Neither,62.333333333333336,64.1,2.2441666666666644
SC,64.1,66.86666666666666,5.151020408163266
Neither,66.86666666666666,68.33333333333333,2.2441666666666644
SC,68.33333333333333,92.83333333333333,5.151020408163266
Neither,92.83333333333333,92.93333333333334,2.2441666666666644
SC,92.93333333333334,94.06666666666666,5.151020408163266
Neither,94.06666666666666,94.1,2.2441666666666644
SC,94.1,94.13333333333334,5.151020408163266
Neither,94.13333333333334,94.16666666666667,2.2441666666666644
SC,94.16666666666667,98.06666666666666,5.151020408163266
Neither,98.06666666666666,98.33333333333333,2.2441666666666644
SC,98.33333333333333,100.03333333333333,5.151020408163266
Neither,100.03333333333333,100.66666666666667,2.2441666666666644
SC,100.66666666666667,107.66666666666667,5.151020408163266
Neither,107.66666666666667,107.93333333333334,2.2441666666666644
SC,107.93333333333334,112.53333333333333,5.151020408163266
Neither,112.53333333333333,114.93333333333334,2.2441666666666644
SC,114.93333333333334,118.66666666666667,5.151020408163266
Neither,118.66666666666667,119.3,2.2441666666666644
SC,119.3,127.73333333333333,5.151020408163266
Neither,127.73333333333333,127.9,2.2441666666666644
SC,127.9,132.26666666666668,5.151020408163266
Neither,132.26666666666668,132.3,2.2441666666666644
SC,132.3,137.93333333333334,5.151020408163266
Neither,137.93333333333334,138.13333333333333,2.2441666666666644
SC,138.13333333333333,138.16666666666666,5.151020408163266
Neither,138.16666666666666,138.23333333333332,2.2441666666666644
SC,138.23333333333332,155.23333333333332,5.151020408163266
Neither,155.23333333333332,155.3,2.2441666666666644
SC,155.3,155.96666666666667,5.151020408163266
Neither,155.96666666666667,156.1,2.2441666666666644
SC,156.1,169.53333333333333,5.151020408163266
Neither,169.53333333333333,170.73333333333332,2.2441666666666644
SC,170.73333333333332,173.53333333333333,5.151020408163266
Neither,173.53333333333333,175.2,2.2441666666666644
SC,175.2,185.43333333333334,5.151020408163266
Neither,185.43333333333334,185.93333333333334,2.2441666666666644
SC,185.93333333333334,218.3,5.151020408163266
Neither,218.3,218.4,2.2441666666666644
SC,218.4,220.83333333333334,5.151020408163266
Neither,220.83333333333334,221.16666666666666,2.2441666666666644
SC,221.16666666666666,225.06666666666666,5.151020408163266
Neither,225.06666666666666,225.3,2.2441666666666644
SC,225.3,225.36666666666667,5.151020408163266
Neither,225.36666666666667,225.96666666666667,2.2441666666666644
SC,225.96666666666667,226.8,5.151020408163266
Neither,226.8,226.86666666666667,2.2441666666666644
SC,226.86666666666667,226.93333333333334,5.151020408163266
Neither,226.93333333333334,227.1,2.2441666666666644
SC,227.1,228.23333333333332,5.151020408163266
Neither,228.23333333333332,228.46666666666667,2.2441666666666644
SC,228.46666666666667,231.43333333333334,5.151020408163266
Neither,231.43333333333334,236.96666666666667,2.2441666666666644
NSC,236.96666666666667,240.53333333333333,5.638888888888893
Neither,240.53333333333333,240.93333333333334,2.2441666666666644
NSC,240.93333333333334,242.53333333333333,5.638888888888893
Neither,242.53333333333333,245.86666666666667,2.2441666666666644
NSC,245.86666666666667,254.8,5.638888888888893
Neither,254.8,255.16666666666666,2.2441666666666644
NSC,255.16666666666666,259.43333333333334,5.638888888888893
Neither,259.43333333333334,259.6,2.2441666666666644
NSC,259.6,265.0,5.638888888888893
Neither,265.0,265.6666666666667,2.2441666666666644
NSC,265.6666666666667,269.96666666666664,5.638888888888893
Neither,269.96666666666664,270.3666666666667,2.2441666666666644
NSC,270.3666666666667,288.6666666666667,5.638888888888893
Neither,288.6666666666667,290.46666666666664,2.2441666666666644
NSC,290.46666666666664,297.6333333333333,5.638888888888893
Neither,297.6333333333333,298.3333333333333,2.2441666666666644
NSC,298.3333333333333,314.43333333333334,5.638888888888893
Neither,314.43333333333334,316.1666666666667,2.2441666666666644
NSC,316.1666666666667,319.93333333333334,5.638888888888893
Neither,319.93333333333334,322.5,2.2441666666666644
NSC,322.5,356.06666666666666,5.638888888888893
Neither,356.06666666666666,358.4,2.2441666666666644
NSC,358.4,363.6,5.638888888888893
Neither,363.6,365.6,2.2441666666666644
NSC,365.6,365.73333333333335,5.638888888888893
Neither,365.73333333333335,366.3333333333333,2.2441666666666644
NSC,366.3333333333333,369.76666666666665,5.638888888888893
Neither,369.76666666666665,370.56666666666666,2.2441666666666644
NSC,370.56666666666666,375.96666666666664,5.638888888888893
Neither,375.96666666666664,379.03333333333336,2.2441666666666644
NSC,379.03333333333336,382.6333333333333,5.638888888888893
Neither,382.6333333333333,389.3333333333333,2.2441666666666644
SC,389.3333333333333,390.43333333333334,5.151020408163266
Neither,390.43333333333334,390.6333333333333,2.2441666666666644
SC,390.6333333333333,392.8333333333333,5.151020408163266
Neither,392.8333333333333,393.8,2.2441666666666644
SC,393.8,393.8333333333333,5.151020408163266
Neither,393.8333333333333,396.53333333333336,2.2441666666666644
NSC,396.53333333333336,399.1,5.638888888888893
Neither,399.1,399.5,2.2441666666666644
NSC,399.5,405.43333333333334,5.638888888888893
Neither,405.43333333333334,408.7,2.2441666666666644
NSC,408.7,411.56666666666666,5.638888888888893
Neither,411.56666666666666,415.1,2.2441666666666644
NSC,415.1,417.43333333333334,5.638888888888893
Neither,417.43333333333334,421.03333333333336,2.2441666666666644
NSC,421.03333333333336,425.06666666666666,5.638888888888893
Neither,425.06666666666666,426.73333333333335,2.2441666666666644
NSC,426.73333333333335,429.93333333333334,5.638888888888893
Neither,429.93333333333334,433.1,2.2441666666666644
NSC,433.1,435.7,5.638888888888893
Neither,435.7,437.8333333333333,2.2441666666666644
NSC,437.8333333333333,441.46666666666664,5.638888888888893
Neither,441.46666666666664,443.6,2.2441666666666644
NSC,443.6,447.3,5.638888888888893
Neither,447.3,449.23333333333335,2.2441666666666644
NSC,449.23333333333335,453.76666666666665,5.638888888888893
Neither,453.76666666666665,457.53333333333336,2.2441666666666644
NSC,457.53333333333336,499.6333333333333,5.638888888888893
Neither,499.6333333333333,501.5,2.2441666666666644
NSC,501.5,505.76666666666665,5.638888888888893
Neither,505.76666666666665,507.93333333333334,2.2441666666666644
NSC,507.93333333333334,510.76666666666665,5.638888888888893
Neither,510.76666666666665,513.2666666666667,2.2441666666666644
NSC,513.2666666666667,516.5666666666667,5.638888888888893
Neither,516.5666666666667,519.0,2.2441666666666644
NSC,519.0,522.0333333333333,5.638888888888893
Neither,522.0333333333333,531.2666666666667,2.2441666666666644
NSC,531.2666666666667,537.2333333333333,5.638888888888893
Neither,537.2333333333333,542.5666666666667,2.2441666666666644
NSC,542.5666666666667,549.7333333333333,5.638888888888893
Neither,549.7333333333333,552.7,2.2441666666666644
NSC,552.7,554.9666666666667,5.638888888888893
Neither,554.9666666666667,557.5666666666667,2.2441666666666644
NSC,557.5666666666667,561.2333333333333,5.638888888888893
Neither,561.2333333333333,563.1,2.2441666666666644
NSC,563.1,564.4666666666667,5.638888888888893
Neither,564.4666666666667,567.1,2.2441666666666644
NSC,567.1,568.9666666666667,5.638888888888893
Neither,568.9666666666667,570.9,2.2441666666666644
NSC,570.9,574.1,5.638888888888893
Neither,574.1,579.3,2.2441666666666644
NSC,579.3,579.4,5.638888888888893
Neither,579.4,583.4333333333333,2.2441666666666644
NSC,583.4333333333333,585.2666666666667,5.638888888888893
Neither,585.2666666666667,591.7666666666667,2.2441666666666644
NSC,591.7666666666667,595.3333333333334,5.638888888888893
Neither,595.3333333333334,602.1333333333333,2.2441666666666644
NSC,602.1333333333333,604.9,5.638888888888893
Neither,604.9,608.2,2.2441666666666644
NSC,608.2,611.0666666666667,5.638888888888893
Neither,611.0666666666667,613.0666666666667,2.2441666666666644
NSC,613.0666666666667,622.5333333333333,5.638888888888893
Neither,622.5333333333333,626.0666666666667,2.2441666666666644
NSC,626.0666666666667,634.0666666666667,5.638888888888893
Neither,634.0666666666667,637.7666666666667,2.2441666666666644
NSC,637.7666666666667,644.2,5.638888888888893
Neither,644.2,646.5666666666667,2.2441666666666644
NSC,646.5666666666667,649.7,5.638888888888893
Neither,649.7,653.5,2.2441666666666644
NSC,653.5,659.0,5.638888888888893
Neither,659.0,661.5,2.2441666666666644
NSC,661.5,664.3666666666667,5.638888888888893
Neither,664.3666666666667,666.7666666666667,2.2441666666666644
NSC,666.7666666666667,669.7666666666667,5.638888888888893
Neither,669.7666666666667,671.8,2.2441666666666644
NSC,671.8,676.0666666666667,5.638888888888893
Neither,676.0666666666667,678.7666666666667,2.2441666666666644
NSC,678.7666666666667,684.9,5.638888888888893
Neither,684.9,687.8,2.2441666666666644
NSC,687.8,691.3333333333334,5.638888888888893
Neither,691.3333333333334,698.1333333333333,2.2441666666666644
NSC,698.1333333333333,702.1,5.638888888888893
Neither,702.1,704.4666666666667,2.2441666666666644
NSC,704.4666666666667,708.7,5.638888888888893
Neither,708.7,712.2333333333333,2.2441666666666644
NSC,712.2333333333333,716.0666666666667,5.638888888888893
Neither,716.0666666666667,718.2333333333333,2.2441666666666644
NSC,718.2333333333333,721.5666666666667,5.638888888888893
Neither,721.5666666666667,730.2333333333333,2.2441666666666644
SC,730.2333333333333,732.8666666666667,5.151020408163266
Neither,732.8666666666667,733.3666666666667,2.2441666666666644
SC,733.3666666666667,733.6666666666666,5.151020408163266
Neither,733.6666666666666,744.5333333333333,2.2441666666666644
NSC,744.5333333333333,748.0333333333333,5.638888888888893
Neither,748.0333333333333,748.3,2.2441666666666644
NSC,748.3,749.1333333333333,5.638888888888893
Neither,749.1333333333333,750.0333333333333,2.2441666666666644
NSC,750.0333333333333,757.9666666666667,5.638888888888893
Neither,757.9666666666667,760.7333333333333,2.2441666666666644
NSC,760.7333333333333,762.6,5.638888888888893
Neither,762.6,766.1666666666666,2.2441666666666644
NSC,766.1666666666666,767.8,5.638888888888893
Neither,767.8,768.4333333333333,2.2441666666666644
NSC,768.4333333333333,780.9333333333333,5.638888888888893
Neither,780.9333333333333,782.0333333333333,2.2441666666666644
NSC,782.0333333333333,788.8666666666667,5.638888888888893
Neither,788.8666666666667,790.5333333333333,2.2441666666666644
NSC,790.5333333333333,796.9666666666667,5.638888888888893
Neither,796.9666666666667,799.0666666666667,2.2441666666666644
NSC,799.0666666666667,802.2333333333333,5.638888888888893
Neither,802.2333333333333,805.0666666666667,2.2441666666666644
NSC,805.0666666666667,817.7333333333333,5.638888888888893
Neither,817.7333333333333,820.0333333333333,2.2441666666666644
NSC,820.0333333333333,823.6,5.638888888888893
Neither,823.6,825.4333333333333,2.2441666666666644
NSC,825.4333333333333,843.3,5.638888888888893
Neither,843.3,845.2333333333333,2.2441666666666644
NSC,845.2333333333333,848.6333333333333,5.638888888888893
Neither,848.6333333333333,851.1,2.2441666666666644
NSC,851.1,852.2333333333333,5.638888888888893
Neither,852.2333333333333,852.6333333333333,2.2441666666666644
NSC,852.6333333333333,855.3,5.638888888888893
Neither,855.3,862.9666666666667,2.2441666666666644
SC,862.9666666666667,866.9,5.151020408163266
Neither,866.9,867.3,2.2441666666666644
SC,867.3,867.4333333333333,5.151020408163266
Neither,867.4333333333333,867.4666666666667,2.2441666666666644
SC,867.4666666666667,867.7666666666667,5.151020408163266
Neither,867.7666666666667,870.2333333333333,2.2441666666666644
SC,870.2333333333333,872.8666666666667,5.151020408163266
Neither,872.8666666666667,874.2666666666667,2.2441666666666644
SC,874.2666666666667,874.7666666666667,5.151020408163266
Neither,874.7666666666667,875.6333333333333,2.2441666666666644
SC,875.6333333333333,879.5666666666667,5.151020408163266
Neither,879.5666666666667,879.6666666666666,2.2441666666666644
SC,879.6666666666666,905.8333333333334,5.151020408163266
Neither,905.8333333333334,905.9,2.2441666666666644
SC,905.9,921.3333333333334,5.151020408163266
Neither,921.3333333333334,921.4,2.2441666666666644
SC,921.4,921.4333333333333,5.151020408163266
Neither,921.4333333333333,924.8333333333334,2.2441666666666644
SC,924.8333333333334,927.7,5.151020408163266
