Chamber,Start Time,End Time,Average Time
Neither,0,16.766666666666666,4.469230769230766
NSC,16.766666666666666,19.233333333333334,5.174842767295597
Neither,19.233333333333334,25.266666666666666,4.469230769230766
SC,25.266666666666666,27.066666666666666,11.865333333333346
Neither,27.066666666666666,32.46666666666667,4.469230769230766
NSC,32.46666666666667,34.3,5.174842767295597
Neither,34.3,59.6,4.469230769230766
SC,59.6,60.3,11.865333333333346
Neither,60.3,67.86666666666666,4.469230769230766
NSC,67.86666666666666,69.63333333333334,5.174842767295597
Neither,69.63333333333334,90.0,4.469230769230766
NSC,90.0,90.86666666666666,5.174842767295597
Neither,90.86666666666666,102.5,4.469230769230766
NSC,102.5,106.53333333333333,5.174842767295597
Neither,106.53333333333333,150.93333333333334,4.469230769230766
NSC,150.93333333333334,153.46666666666667,5.174842767295597
Neither,153.46666666666667,167.43333333333334,4.469230769230766
NSC,167.43333333333334,167.5,5.174842767295597
Neither,167.5,214.76666666666668,4.469230769230766
NSC,214.76666666666668,219.3,5.174842767295597
Neither,219.3,221.66666666666666,4.469230769230766
NSC,221.66666666666666,223.8,5.174842767295597
Neither,223.8,226.03333333333333,4.469230769230766
NSC,226.03333333333333,230.03333333333333,5.174842767295597
Neither,230.03333333333333,232.33333333333334,4.469230769230766
NSC,232.33333333333334,234.56666666666666,5.174842767295597
Neither,234.56666666666666,237.43333333333334,4.469230769230766
NSC,237.43333333333334,239.7,5.174842767295597
Neither,239.7,241.96666666666667,4.469230769230766
NSC,241.96666666666667,245.13333333333333,5.174842767295597
Neither,245.13333333333333,248.06666666666666,4.469230769230766
NSC,248.06666666666666,250.06666666666666,5.174842767295597
Neither,250.06666666666666,252.86666666666667,4.469230769230766
NSC,252.86666666666667,255.46666666666667,5.174842767295597
Neither,255.46666666666667,279.3,4.469230769230766
NSC,279.3,287.6666666666667,5.174842767295597
Neither,287.6666666666667,289.26666666666665,4.469230769230766
NSC,289.26666666666665,292.23333333333335,5.174842767295597
Neither,292.23333333333335,294.26666666666665,4.469230769230766
NSC,294.26666666666665,297.26666666666665,5.174842767295597
Neither,297.26666666666665,299.6,4.469230769230766
NSC,299.6,308.6333333333333,5.174842767295597
Neither,308.6333333333333,311.06666666666666,4.469230769230766
NSC,311.06666666666666,315.53333333333336,5.174842767295597
Neither,315.53333333333336,319.7,4.469230769230766
NSC,319.7,322.6333333333333,5.174842767295597
Neither,322.6333333333333,324.3666666666667,4.469230769230766
NSC,324.3666666666667,327.4,5.174842767295597
Neither,327.4,345.73333333333335,4.469230769230766
NSC,345.73333333333335,348.6,5.174842767295597
Neither,348.6,351.46666666666664,4.469230769230766
NSC,351.46666666666664,359.23333333333335,5.174842767295597
Neither,359.23333333333335,361.3333333333333,4.469230769230766
NSC,361.3333333333333,373.2,5.174842767295597
Neither,373.2,373.23333333333335,4.469230769230766
NSC,373.23333333333335,376.5,5.174842767295597
Neither,376.5,379.9,4.469230769230766
NSC,379.9,396.3,5.174842767295597
Neither,396.3,398.26666666666665,4.469230769230766
NSC,398.26666666666665,410.26666666666665,5.174842767295597
Neither,410.26666666666665,412.03333333333336,4.469230769230766
NSC,412.03333333333336,414.53333333333336,5.174842767295597
Neither,414.53333333333336,416.73333333333335,4.469230769230766
NSC,416.73333333333335,419.56666666666666,5.174842767295597
Neither,419.56666666666666,422.5,4.469230769230766
NSC,422.5,424.73333333333335,5.174842767295597
Neither,424.73333333333335,427.93333333333334,4.469230769230766
NSC,427.93333333333334,429.9,5.174842767295597
Neither,429.9,431.6333333333333,4.469230769230766
NSC,431.6333333333333,433.73333333333335,5.174842767295597
Neither,433.73333333333335,435.3,4.469230769230766
NSC,435.3,437.7,5.174842767295597
Neither,437.7,439.8333333333333,4.469230769230766
NSC,439.8333333333333,448.26666666666665,5.174842767295597
Neither,448.26666666666665,449.7,4.469230769230766
NSC,449.7,459.46666666666664,5.174842767295597
Neither,459.46666666666664,459.53333333333336,4.469230769230766
NSC,459.53333333333336,459.6333333333333,5.174842767295597
Neither,459.6333333333333,461.6333333333333,4.469230769230766
NSC,461.6333333333333,461.9,5.174842767295597
Neither,461.9,462.7,4.469230769230766
NSC,462.7,467.76666666666665,5.174842767295597
Neither,467.76666666666665,469.5,4.469230769230766
NSC,469.5,472.1,5.174842767295597
Neither,472.1,473.9,4.469230769230766
NSC,473.9,476.43333333333334,5.174842767295597
Neither,476.43333333333334,478.3333333333333,4.469230769230766
NSC,478.3333333333333,481.3333333333333,5.174842767295597
Neither,481.3333333333333,484.0,4.469230769230766
NSC,484.0,485.8666666666667,5.174842767295597
Neither,485.8666666666667,488.1,4.469230769230766
NSC,488.1,511.8333333333333,5.174842767295597
Neither,511.8333333333333,512.0333333333333,4.469230769230766
NSC,512.0333333333333,520.0,5.174842767295597
Neither,520.0,520.0666666666667,4.469230769230766
NSC,520.0666666666667,524.0333333333333,5.174842767295597
Neither,524.0333333333333,526.1666666666666,4.469230769230766
NSC,526.1666666666666,529.0333333333333,5.174842767295597
Neither,529.0333333333333,530.6,4.469230769230766
NSC,530.6,533.0666666666667,5.174842767295597
Neither,533.0666666666667,534.8333333333334,4.469230769230766
NSC,534.8333333333334,541.5,5.174842767295597
Neither,541.5,542.7333333333333,4.469230769230766
NSC,542.7333333333333,577.6,5.174842767295597
Neither,577.6,579.3,4.469230769230766
NSC,579.3,582.2,5.174842767295597
Neither,582.2,584.0,4.469230769230766
NSC,584.0,587.6666666666666,5.174842767295597
Neither,587.6666666666666,587.7333333333333,4.469230769230766
NSC,587.7333333333333,600.7666666666667,5.174842767295597
Neither,600.7666666666667,605.5,4.469230769230766
SC,605.5,621.7333333333333,11.865333333333346
Neither,621.7333333333333,621.9333333333333,4.469230769230766
SC,621.9333333333333,669.2666666666667,11.865333333333346
Neither,669.2666666666667,669.7,4.469230769230766
SC,669.7,675.7333333333333,11.865333333333346
Neither,675.7333333333333,677.7666666666667,4.469230769230766
SC,677.7666666666667,730.8,11.865333333333346
Neither,730.8,732.4333333333333,4.469230769230766
SC,732.4333333333333,733.4,11.865333333333346
Neither,733.4,733.5666666666667,4.469230769230766
SC,733.5666666666667,777.5666666666667,11.865333333333346
Neither,777.5666666666667,779.1666666666666,4.469230769230766
SC,779.1666666666666,789.8666666666667,11.865333333333346
Neither,789.8666666666667,791.7,4.469230769230766
SC,791.7,819.1,11.865333333333346
Neither,819.1,819.7,4.469230769230766
SC,819.7,829.8333333333334,11.865333333333346
Neither,829.8333333333334,831.8333333333334,4.469230769230766
SC,831.8333333333334,832.4,11.865333333333346
Neither,832.4,832.8,4.469230769230766
SC,832.8,832.8333333333334,11.865333333333346
Neither,832.8333333333334,832.8666666666667,4.469230769230766
SC,832.8666666666667,835.1333333333333,11.865333333333346
Neither,835.1333333333333,835.3666666666667,4.469230769230766
SC,835.3666666666667,859.7,11.865333333333346
Neither,859.7,859.7333333333333,4.469230769230766
SC,859.7333333333333,867.9666666666667,11.865333333333346
Neither,867.9666666666667,868.4,4.469230769230766
SC,868.4,872.7333333333333,11.865333333333346
Neither,872.7333333333333,874.5666666666667,4.469230769230766
SC,874.5666666666667,881.0666666666667,11.865333333333346
Neither,881.0666666666667,881.1666666666666,4.469230769230766
SC,881.1666666666666,881.3,11.865333333333346
Neither,881.3,883.7,4.469230769230766
SC,883.7,909.5666666666667,11.865333333333346
Neither,909.5666666666667,910.3,4.469230769230766
SC,910.3,910.3333333333334,11.865333333333346
Neither,910.3333333333334,911.6333333333333,4.469230769230766
SC,911.6333333333333,911.7,11.865333333333346
Neither,911.7,912.6333333333333,4.469230769230766
SC,912.6333333333333,912.7,11.865333333333346
Neither,912.7,912.8333333333334,4.469230769230766
SC,912.8333333333334,913.7,11.865333333333346
Neither,913.7,914.5,4.469230769230766
SC,914.5,919.5,11.865333333333346
