Chamber,Start Time,End Time,Average Time
SC,0,57.733333333333334,117.41428571428571
SC,57.733333333333334,171.23333333333332,117.41428571428571
SC,171.23333333333332,516.1666666666666,117.41428571428571
SC,516.1666666666666,614.1333333333333,117.41428571428571
SC,614.1333333333333,751.5666666666667,117.41428571428571
Neither,751.5666666666667,765.8666666666667,14.299999999999955
NSC,765.8666666666667,832.6,66.73333333333335
SC,832.6,888.0333333333333,117.41428571428571
SC,888.0333333333333,902.9333333333333,117.41428571428571
