Chamber,Start Time,End Time
SC,0,1.0961538461538463
SC,6.391025641025641,10.884615384615385
SC,11.98076923076923,12.903846153846153
SC,13.98076923076923,16.724358974358974
SC,16.724358974358974,19.134615384615383
NSC,21.66025641025641,23.58974358974359
NSC,24.794871794871796,26.91025641025641
NSC,26.91025641025641,30.121794871794872
NSC,30.121794871794872,30.397435897435898
Neither,1.0961538461538463,6.391025641025641
Neither,10.884615384615385,11.98076923076923
Neither,12.903846153846153,13.98076923076923
Neither,19.134615384615383,21.66025641025641
Neither,23.58974358974359,24.794871794871796
