Chamber,Start Time,End Time
SC,222.5,225.6
SC,226.43333333333334,258.2
SC,259.9,268.6333333333333
SC,269.93333333333334,278.56666666666666
SC,287.6,296.1333333333333
SC,297.93333333333334,481.3666666666667
SC,481.3666666666667,666.9666666666667
SC,669.8,676.1333333333333
SC,682.7666666666667,684.2333333333333
SC,684.2333333333333,693.5333333333333
SC,702.7666666666667,717.3
SC,719.0333333333333,726.6
SC,728.3,732.8
SC,734.5,795.9
SC,796.9333333333333,842.7666666666667
SC,844.7,863.1333333333333
SC,864.7666666666667,868.6
SC,872.0666666666667,876.5666666666667
SC,878.3333333333334,882.8
SC,883.7,906.7
SC,908.2,917.2
Neither,0,222.5
Neither,225.6,226.43333333333334
Neither,258.2,259.9
Neither,268.6333333333333,269.93333333333334
Neither,278.56666666666666,287.6
Neither,296.1333333333333,297.93333333333334
Neither,666.9666666666667,669.8
Neither,676.1333333333333,682.7666666666667
Neither,693.5333333333333,702.7666666666667
Neither,717.3,719.0333333333333
Neither,726.6,728.3
Neither,732.8,734.5
Neither,795.9,796.9333333333333
Neither,842.7666666666667,844.7
Neither,863.1333333333333,864.7666666666667
Neither,868.6,872.0666666666667
Neither,876.5666666666667,878.3333333333334
Neither,882.8,883.7
Neither,906.7,908.2
