Chamber,Start Time,End Time,Average Time
SC,0,39.2,63.79285714285715
Neither,39.2,39.3,1.1794871794871578
SC,39.3,54.9,63.79285714285715
Neither,54.9,54.96666666666667,1.1794871794871578
SC,54.96666666666667,124.13333333333334,63.79285714285715
Neither,124.13333333333334,126.9,1.1794871794871578
SC,126.9,181.46666666666667,63.79285714285715
Neither,181.46666666666667,182.53333333333333,1.1794871794871578
SC,182.53333333333333,190.5,63.79285714285715
Neither,190.5,192.33333333333334,1.1794871794871578
SC,192.33333333333334,277.8666666666667,63.79285714285715
Neither,277.8666666666667,279.26666666666665,1.1794871794871578
SC,279.26666666666665,345.76666666666665,63.79285714285715
Neither,345.76666666666665,345.8,1.1794871794871578
SC,345.8,352.26666666666665,63.79285714285715
Neither,352.26666666666665,352.4,1.1794871794871578
SC,352.4,373.8666666666667,63.79285714285715
Neither,373.8666666666667,374.0,1.1794871794871578
SC,374.0,374.3666666666667,63.79285714285715
Neither,374.3666666666667,374.4,1.1794871794871578
SC,374.4,522.8333333333334,63.79285714285715
Neither,522.8333333333334,524.8,1.1794871794871578
SC,524.8,614.2,63.79285714285715
Neither,614.2,615.9333333333333,1.1794871794871578
SC,615.9333333333333,900.4666666666667,63.79285714285715
Neither,900.4666666666667,904.5333333333333,1.1794871794871578
SC,904.5333333333333,908.4333333333333,63.79285714285715
