Chamber,Start Time,End Time,Average Time
NSC,0,12.983333333333333,41.12435897435898
NSC,12.983333333333333,142.96666666666667,41.12435897435898
Neither,142.96666666666667,160.76666666666668,19.155555555555548
SC,160.76666666666668,172.86666666666667,19.852564102564106
SC,172.86666666666667,199.28333333333333,19.852564102564106
SC,199.28333333333333,213.28333333333333,19.852564102564106
SC,213.28333333333333,237.78333333333333,19.852564102564106
SC,237.78333333333333,272.65,19.852564102564106
Neither,272.65,293.6666666666667,19.155555555555548
Neither,293.6666666666667,305.96666666666664,19.155555555555548
SC,305.96666666666664,323.1333333333333,19.852564102564106
Neither,323.1333333333333,336.0,19.155555555555548
NSC,336.0,436.6166666666667,41.12435897435898
Neither,436.6166666666667,447.51666666666665,19.155555555555548
SC,447.51666666666665,461.6333333333333,19.852564102564106
SC,461.6333333333333,477.95,19.852564102564106
SC,477.95,497.15,19.852564102564106
SC,497.15,509.1,19.852564102564106
Neither,509.1,549.15,19.155555555555548
SC,549.15,574.1666666666666,19.852564102564106
SC,574.1666666666666,594.45,19.852564102564106
SC,594.45,616.6,19.852564102564106
NSC,616.6,631.6333333333333,41.12435897435898
NSC,631.6333333333333,649.6166666666667,41.12435897435898
NSC,649.6166666666667,678.6333333333333,41.12435897435898
NSC,678.6333333333333,689.4166666666666,41.12435897435898
NSC,689.4166666666666,753.6,41.12435897435898
NSC,753.6,778.2666666666667,41.12435897435898
NSC,778.2666666666667,787.45,41.12435897435898
NSC,787.45,844.5666666666667,41.12435897435898
NSC,844.5666666666667,859.1833333333333,41.12435897435898
NSC,859.1833333333333,907.6333333333333,41.12435897435898
