Chamber,Start Time,End Time,Average Time
Neither,0,79.43333333333334,11.649999999999999
SC,79.43333333333334,79.5,101.56666666666668
Neither,79.5,80.0,11.649999999999999
SC,80.0,528.6,101.56666666666668
Neither,528.6,529.5333333333333,11.649999999999999
SC,529.5333333333333,541.4,101.56666666666668
Neither,541.4,543.4666666666667,11.649999999999999
SC,543.4666666666667,544.8,101.56666666666668
Neither,544.8,546.8,11.649999999999999
SC,546.8,632.6333333333333,101.56666666666668
Neither,632.6333333333333,634.5666666666667,11.649999999999999
SC,634.5666666666667,729.9,101.56666666666668
Neither,729.9,735.6666666666666,11.649999999999999
SC,735.6666666666666,753.0666666666667,101.56666666666668
Neither,753.0666666666667,753.6333333333333,11.649999999999999
SC,753.6333333333333,905.7333333333333,101.56666666666668
