Time (seconds),Angle difference,Location
0.0,,Neither
0.03333333333333333,0.0009412805366046939,Neither
0.06666666666666667,0.0002965667636534164,Neither
0.1,0.1082888340395467,Neither
0.13333333333333333,0.2541913706523591,Neither
0.16666666666666666,0.00023206365169947674,Neither
0.2,0.045479338044934536,Neither
0.23333333333333334,0.1774225649147354,Neither
0.26666666666666666,0.10649713195372001,Neither
0.3,0.42553554208930855,Neither
0.3333333333333333,0.23175176905161088,Neither
0.36666666666666664,0.04537112939132548,Neither
0.4,0.09736233439208242,Neither
0.43333333333333335,0.26489772285215096,Neither
0.4666666666666667,0.017452757372689476,Neither
0.5,0.2188984924492079,Neither
0.5333333333333333,0.48393226097490505,Neither
0.5666666666666667,0.03130100249108558,Neither
0.6,0.025290018013453874,Neither
0.6333333333333333,0.10489443318466307,Neither
0.6666666666666666,0.33061563619143897,Neither
0.7,0.15623650935026312,Neither
0.7333333333333333,0.2695004351560648,Neither
0.7666666666666667,0.5581882398505567,Neither
0.8,0.09749061249031854,Neither
0.8333333333333334,0.1140339346007142,Neither
0.8666666666666667,0.17244845065385483,Neither
0.9,0.5055825810295431,Neither
0.9333333333333333,0.13471715190029698,Neither
0.9666666666666667,0.051480449800003214,Neither
1.0,0.3620001006786726,Neither
1.0333333333333334,0.441121492809625,Neither
1.0666666666666667,0.037555140825830335,Neither
1.1,0.05968333792549352,Neither
1.1333333333333333,0.22957629869082652,Neither
1.1666666666666667,0.09206062066129483,Neither
1.2,0.368008430160252,Neither
1.2333333333333334,0.13866732887127498,Neither
1.2666666666666666,0.038610681006408853,Neither
1.3,0.01955702529739689,Neither
1.3333333333333333,0.01841894073081285,Neither
1.3666666666666667,0.08866631936016311,Neither
1.4,0.0748169821936866,Neither
1.4333333333333333,0.0623090574073899,Neither
1.4666666666666666,0.16777071118249687,Neither
1.5,0.26582818158257915,Neither
1.5333333333333334,0.3901528824202618,Neither
1.5666666666666667,0.04122080042650644,Neither
1.6,0.6534385880235796,Neither
1.6333333333333333,0.03221204762435015,Neither
1.6666666666666667,0.07117199476383007,Neither
1.7,0.04044240080589567,Neither
1.7333333333333334,0.1569022359789738,Neither
1.7666666666666666,0.14778984165107545,Neither
1.8,0.008129719240898226,Neither
1.8333333333333333,0.48171271580345554,Neither
1.8666666666666667,0.15831041695082604,Neither
1.9,0.014215915878667218,Neither
1.9333333333333333,0.04324568930401007,Neither
1.9666666666666666,0.1389475042030952,Neither
2.0,0.4453467782994416,Neither
2.033333333333333,0.06340974916693298,Neither
2.066666666666667,0.17781193401217088,Neither
2.1,0.4051414733108345,Neither
2.1333333333333333,0.09130205929385227,Neither
2.1666666666666665,0.15276811247402833,Neither
2.2,0.08625689650053836,Neither
2.2333333333333334,0.09460951159849529,Neither
